#	k (MeV)			C (HAL QCD)		C (Florit)		C (Reduced Florit)		C(No FF)		C (Fixed FF)		C (Free FF)
   2.4516622226139999        23.853922269045000        7.8634643689697494        8.5439914670961254        20.539872602266747        164.82757596727299        44.220821778507002     
   3.0076734946060002        18.253934049950999        5.1592221703281247        5.7139368203212495        15.480164697942874        133.17742564643049        34.949138925853873     
   4.2605699664770000        12.082606063223000        2.6945468671511250        3.0865899751123749        9.9616488754138750        93.161151170768619        24.078512349359247     
   5.7731895362139998        8.8510684615180004        1.7203462608034998        2.0115523939688749        7.0835269199228748        68.416759849415129        17.961840334969750     
   7.3876845354679999        7.0866422509430000        1.2840357548726251        1.5150781846869998        5.5035266473743754        53.118511305074378        14.450990131814876     
   9.0496935065699997        6.0174227565080001        1.0497856322757499        1.2429034461988751        4.5438365777351244        42.927903133620873        12.225642319672248     
   10.737174987995999        5.3098480565430002       0.90710361501600012        1.0748304044376251        3.9127418732104999        35.694596154027749        10.680577996327250     
   12.439767090888999        4.8067111834420002       0.81198972901974997       0.96179983181387507        3.4711420081980000        30.305702671588747        9.5259417146447500     
   14.152017107855000        4.4280710839120001       0.74501802518162497       0.88161966505299993        3.1473359310937501        26.139155780757378        8.6139965190024999     
   15.870799461879001        4.1299401742960002       0.69644669831299999       0.82295116677287505        2.9012859070083752        22.823161493980251        7.8641664035556245     
   17.594199819545000        3.8850657417960002       0.65941001633562502       0.77795869477099999        2.7076773013712501        20.121939530268499        7.2282845886962495     
   19.320982465021999        3.6777285782360001       0.63085009331750008       0.74296827835137502        2.5517133096923748        17.881342070391501        6.6778973056456250     
   21.050315055363001        3.4975124533490001       0.60848971500149995       0.71529583388987494        2.4233559351478751        15.995520956398625        6.1942679839327504     
   22.781616905722000        3.3373748042100000       0.59066542763175001       0.69300000461550004        2.3156378408332499        14.389359025670373        5.7644981258231249     
   24.514470790552998        3.1926785751210001       0.57637527805650002       0.67488340376562506        2.2238264317596248        13.008147801821250        5.3795280011168742     
   26.248569329306999        3.0602804235410002       0.56497709997650003       0.66016289745025003        2.1445889484071250        11.810905559042375        5.0326712381925001     
   27.983681136024000        2.9378565706590001       0.55589398583887495       0.64815761967300001        2.0753650936602499        10.766039738130250        4.7186392717037497     
   29.719628739314000        2.8236108075400002       0.54856580302825009       0.63822926729062501        2.0141043733318749        9.8486625156511245        4.4330821098416244     
   31.456273766536999        2.7164953009440000       0.54283025348625003       0.63015574667774998        1.9595055548553750        9.0392049045784990        4.1727133377019996     
   33.193506752688002        2.6155059226400001       0.53832591538937502       0.62352919695299991        1.9103237887493749        8.3216029916857508        3.9345475746782501     
   34.931239975113002        2.5200868118630000       0.53497043826487500       0.61823071241125005        1.8657823930868749        7.6829163705931256        3.7162672621536252     
   36.669402316506002        2.4296760500320000       0.53255720926962491       0.61402455765624997        1.8251226250007497        7.1123025742332500        3.5157412543371249     
   38.407935517200002        2.3438781703910001       0.53096350475624998       0.61076455786612505        1.7877781212735000        6.6007649316011250        3.3311760582381251     
   40.146791397690997        2.2623768784439999       0.53008826766787509       0.60833058983062493        1.7532880452407502        6.1407431053231250        3.1610106273911249     
   41.885929770733000        2.1849404801299999       0.52987519403350003       0.60665071488587508        1.7213019080942500        5.7258696673190004        3.0039059889491249     
   43.625316851348003        2.1112911723600001       0.53019445668925003       0.60558218619312498        1.6914475625798751        5.3506441733055006        2.8586002793615002     
   45.364924031624000        2.0412711376330002       0.53101751566675004       0.60508571401487499        1.6634955623285002        5.0104440682377502        2.7240618601378745     
   47.104726926310001        1.9747332160419999       0.53231385004900000       0.60512177806150003        1.6372478463606250        4.7012905794418751        2.5993681571895002     
   48.844704621916001        1.9114798873840000       0.53399409992912505       0.60559344312937502        1.6124746180421248        4.4196863958300003        2.4836338834616249     
   50.584839080449001        1.8513939373049999       0.53604353501574997       0.60647957138987496        1.5890428910997501        4.1626634054015010        2.3761319625009998     
   52.325114661892997        1.7943579774370000       0.53844341198262491       0.60775597650000002        1.5668339418391251        3.9276338432673752        2.2762042674003751     
   54.065517738743999        1.7402127549780000       0.54113044066000004       0.60935472733274998        1.5456996510646250        3.7122918818458750        2.1832120509645003     
   55.806036382538998        1.6888682426410000       0.54410855646324996       0.61127578943200001        1.5255717566332501        3.5146774140983754        2.0966399935611251     
   57.546660107192999        1.6401928247990001       0.54733846441787493       0.61347646267550004        1.5063493500746250        3.3330255952996253        2.0159791167540000     
   59.287379657471000        1.5940613669449999       0.55078585029075000       0.61591950542849994        1.4879454123922500        3.1657815489837500        1.9407692821763751     
   61.028186833611002        1.5503904854970001       0.55445665318362503       0.61860833554762507        1.4703207069420001        3.0116074517435001        1.8706295254741252     
   62.769074345093998        1.5090617117389999       0.55832014872787505       0.62151005425075001        1.4534057193450001        2.8692818047527497        1.8051768553155001     
   64.510035688057002        1.4699620682020000       0.56234939958162511       0.62459584718812500        1.4371401551756251        2.7377196922743749        1.7440629752228749     
   66.251065042017004        1.4330133079580001       0.56655035043000002       0.62787003802612507        1.4215012366735000        2.6159846923732499        1.6870001231330001     
   67.992157182439996        1.3981086281099999       0.57089839620150007       0.63130662177287489        1.4064395987661251        2.5032107708906248        1.6336947883210002     
   69.733307406391006        1.3651463307200000       0.57537190840075003       0.63488276158087498        1.3919122466745000        2.3986232365587501        1.5838787330585000     
   71.474511469052004        1.3340536113810000       0.57997590629675000       0.63860243478712508        1.3779057438373750        2.3015516093527499        1.5373304569188750     
   73.215765529275004        1.3047349691700001       0.58469037032687510       0.64244472485874993        1.3643841130031249        2.2113686237244998        1.4938215604645000     
