#	k (MeV)			C (HAL QCD)		C (Florit)		C (Reduced Florit)		C(No FF)		C (Fixed FF)		C (Free FF)
   2.4516622226139999        5.6500643126999996       0.38739563174987501       0.45523806356762497        1.4080511677446252        492.06659056382784        43.495538451704249     
   3.0076734946060002        5.6395902133440003       0.38749505636087500       0.45532777508587502        1.4079154426177498        424.22452494290133        42.289595927064745     
   4.2605699664770000        5.6084001986149996       0.38779320903387499       0.45559679936749997        1.4075085584002500        301.21402042279385        39.070486057022372     
   5.7731895362139998        5.5571785280319999       0.38828972749262503       0.45604480670037501        1.4068313894752500        204.64485676358524        34.743261833531747     
   7.3876845354679999        5.4870249249230003       0.38898400777762498       0.45667124721212499        1.4058853867172501        142.64510989702060        30.185104323625247     
   9.0496935065699997        5.3993977134140003       0.38987520737812498       0.45747535414812496        1.4046725771886250        103.71482639125739        25.950558667088000     
   10.737174987995999        5.2960419438919999       0.39096224498062498       0.45845614306575000        1.4031955479297502        78.517165689586875        22.274932212058374     
   12.439767090888999        5.1789088263420000       0.39224380501474998       0.45961241659387497        1.4014574442163752        61.507614798105870        19.193850606568127     
   14.152017107855000        5.0500729309189998       0.39371833823237501       0.46094276436450005        1.3994619494217500        49.543924048829375        16.650504799659625     
   15.870799461879001        4.9116529852610000       0.39538406685287497       0.46244556813325000        1.3972132753553750        40.816164844481250        14.559113016684625     
   17.594199819545000        4.7657409215659996       0.39723898734362495       0.46411900401450001        1.3947161430905000        34.246153404683000        12.834570669331500     
   19.320982465021999        4.6143423450689998       0.39928087557900005       0.46596104747849998        1.3919757666853751        29.167247396487127        11.403338533460001     
   21.050315055363001        4.4593300844519996       0.40150729087625003       0.46796947676837497        1.3889978311547502        25.152062234967246        10.205649419492500     
   22.781616905722000        4.3024111176610003       0.40391558178887499       0.47014187836362498        1.3857884727184999        21.917220578390999        9.1943152737917480     
   24.514470790552998        4.1451060960330004       0.40650289186724997       0.47247565223387500        1.3823542549478749        19.268974127983498        8.3325477971778739     
   26.248569329306999        3.9887399490650002       0.40926616559050000       0.47496801725299997        1.3787021449002499        17.071137544397001        7.5917695233424993     
   27.983681136024000        3.8344416418590002       0.41220215518212500       0.47761601747437504        1.3748394877552499        15.225583144687374        6.9497434296381240     
   29.719628739314000        3.6831510238430001       0.41530742763625000       0.48041652859274997        1.3707739805100001        13.660024486488751        6.3890810680744998     
   31.456273766536999        3.5356307817190000       0.41857837197949999       0.48336626461012500        1.3665136446685000        12.320153712469626        5.8960917117210006     
   33.193506752688002        3.3924817191779999       0.42201120708149997       0.48646178500012505        1.3620667979172500        11.164451264659874        5.4599090205161254     
   34.931239975113002        3.2541598729490002       0.42560198960950002       0.48969950202874996        1.3574420254986250        10.160678391375502        5.0718330444477502     
   36.669402316506002        3.1209942791490000       0.42934662243074995       0.49307568848299999        1.3526481509513750        9.2834549646231252        4.7248353583202505     
   38.407935517200002        2.9932045013730000       0.43324086306987503       0.49658648537937500        1.3476942058532499        8.5125531168703752        4.4131863033933758     
   40.146791397690997        2.8709172972579999       0.43728033252062498       0.50022791007737499        1.3425893998750000        7.8316729608347497        4.1321731655103751     
   41.885929770733000        2.7541820188199999       0.44146052434174998       0.50399586462212498        1.3373430908591251        7.2275493609454999        3.8778860104475004     
   43.625316851348003        2.6429845204180000       0.44577681346300002       0.50788614371987495        1.3319647533041250        6.6892901943525001        3.6470539388115002     
   45.364924031624000        2.5372594814710001       0.45022446577462505       0.51189444358524994        1.3264639492788750        6.2078792041351250        3.4369190384496253     
   47.104726926310001        2.4369011474400000       0.45479864713862495       0.51601637007487500        1.3208502974828751        5.7757977263157496        3.2451386554229997     
   48.844704621916001        2.3417725579130000       0.45949443306462501       0.52024744756462504        1.3151334443204998        5.3867334873057500        3.0697090468882497     
   50.584839080449001        2.2517133728280001       0.46430681801824997       0.52458312740224999        1.3093230345930000        5.0353540410670004        2.9089052788726248     
   52.325114661892997        2.1665464289720000       0.46923072486462503       0.52901879646637506        1.3034286832310000        4.7171287687758747        2.7612335428988750     
   54.065517738743999        2.0860831693500002       0.47426101443824997       0.53354978590562507        1.2974599481802500        4.4281877762579995        2.6253930310535001     
   55.806036382538998        2.0101280868020002       0.47939249495662506       0.53817137968437501        1.2914263041192497        4.1652091185223750        2.5002452192296252     
   57.546660107192999        1.9384823170790000       0.48461993144112497       0.54287882312975011        1.2853371172304999        3.9253279791306253        2.3847889322263747     
   59.287379657471000        1.8709465065810000       0.48993805502962501       0.54766733141625012        1.2792016217841249        3.7060630121841251        2.2781399541381253     
   61.028186833611002        1.8073230675350000       0.49534157241912502       0.55253209816412507        1.2730288974391248        3.5052562164368752        2.1795142378371253     
   62.769074345093998        1.7474179209680001       0.50082517495774992       0.55746830371675005        1.2668278487470002        3.3210235552814997        2.0882139837508751     
   64.510035688057002        1.6910418146530000       0.50638354781662498       0.56247112350924999        1.2606071854463750        3.1517141727031248        2.0036160238570000     
   66.251065042017004        1.6380112921009999       0.51201137901575000       0.56753573633499999        1.2543754051238749        2.9958765295718752        1.9251620684602500     
   67.992157182439996        1.5881493765750001       0.51770336826312502       0.57265733241312500        1.2481407765583750        2.8522301464221251        1.8523504710227501     
   69.733307406391006        1.5412860250210001       0.52345423570250005       0.57783112141637505        1.2419113253168750        2.7196419131762499        1.7847292352907500     
   71.474511469052004        1.4972583978939999       0.52925873048912497       0.58305234035962505        1.2356948204800000        2.5971061407649998        1.7218900482483750     
   73.215765529275004        1.4559109827370000       0.53511163910737491       0.58831626121950009        1.2294987628406251        2.4837276930511250        1.6634631629809999     
